"Initial.ID","ID","Class","Order","Family","Subfamily","Genus","Species","BT1","BT2","BT3","BT4","BT5","BT6","BT7","BT8","BT9","BT10","Location","Chromolaena_level","SN"
"1","Msp1","Insecta","Hymenoptera","Formicidae","Myrmicinae","Lenomyrmex ","hoelldobleri",6,1,0,7,5,3,0,1,7,1,"Ogua","0%",1
"2","Msp2","Insecta","Hymenoptera","Formicidae","Myrmicinae","Trichomyrmex ","abyssinicus",1,0,0,0,0,0,0,0,0,0,"Ogua","0%",2
"3","Msp3","Insecta","Coleoptera","Cerambycidae","Lamiinae","Prosopocera ","cylindrica",0,1,0,0,0,0,0,0,0,0,"Ogua","0%",3
"4","Msp4","Insecta","Coleoptera","Formicidae","Myrmicinae","Crematogaster ","sp",0,2,0,2,0,0,7,0,1,0,"Ogua","0%",4
"5","Msp5","Insecta","Blattodea","Ectobiidae","Ectobiinae","Ectobius ","pallidus",0,2,0,0,0,0,0,0,0,0,"Ogua","0%",5
"6","Msp6","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Adorectus ","tenuimaculatus",0,1,4,1,0,0,0,1,0,0,"Ogua","0%",6
"7","Msp7","Arachnida","Araneae","Pholcidae","Pholcidae","Pholcus ","phalangioides",0,1,0,0,0,0,0,0,0,0,"Ogua","0%",7
"8","Msp8","Diplopoda","Spirostreptida","Spirostreptidae","Spirostreptinae","Orthoporus ","ornatus",0,0,0,0,0,0,0,0,0,1,"Ogua","0%",8
"9","Msp9","Insecta","Coleoptera","Nemonychidae","Cimberinae","Cimberis ","compta",0,0,1,0,0,0,0,0,0,0,"Ogua","0%",9
"10","Msp10","Insecta","Coleoptera","Melolonthidae","Melolonthinae","Diplotaxini ","sp",0,0,1,0,0,0,0,0,0,0,"Ogua","0%",10
"11","Msp11","Insecta","Hymenoptera","Formicidae","Dolichoderinae","Iridomyrmex ","suchieri",0,0,0,2,0,0,0,0,0,0,"Ogua","0%",11
"12","Msp12","Insecta","Hymenoptera","Formicidae","Formicinae","Camponotus ","sp",0,0,0,1,0,0,0,0,0,0,"Ogua","0%",12
"13","Msp13","Insecta","Hemiptera","Pyrrhocoridae","Pyrrhocorinae","Dysdercus ","sp",0,0,0,1,0,0,0,0,0,0,"Ogua","0%",13
"14","Msp14","Insecta","Hemiptera","Reduviidae","Emesinae","Ploiara ","domestica",0,0,0,1,0,0,0,0,0,0,"Ogua","0%",14
"15","Msp15","Insecta","Hymenoptera","Formicidae","Formicinae","Camponotus ","vividus",0,0,0,0,2,0,0,1,0,0,"Ogua","0%",15
"16","Msp16","Insecta","Hymenoptera","Formicidae","Formicinae","Polyrhachis ","tubifex",0,0,0,0,1,0,0,0,0,0,"Ogua","0%",16
"17","Msp17","Insecta","hymenoptera","formicidae","Formicinae","Polyrhachis ","sp",0,0,0,0,1,0,1,0,0,0,"Ogua","0%",17
"18","Msp18","Insecta","Coleoptera","Tenebrionidae","Tenebrioninae","Neatus ","tenebrioides",0,0,0,0,0,1,0,0,0,0,"Ogua","0%",18
"19","Msp19","Insecta","Hemiptera","Pentatomidae","Pentatominae","Chinavia ","hilaris",0,0,0,0,0,0,1,0,0,0,"Ogua","0%",19
"20","Msp20","Insecta","Hymenoptera","Formicidae","Formicinae","Camponotus ","maculatus",0,0,0,0,0,0,1,0,0,0,"Ogua","0%",20
"21","Msp21","Insecta","Hymenoptera","Formicidae","Myrmicinae","Monomorium ","opacum",0,0,0,0,0,0,1,0,0,0,"Ogua","0%",21
"22","Msp22","Insecta","Hymenoptera","Formicidae","Myrmicinae","Crematogaster ","sp",0,0,0,0,0,0,1,0,0,0,"Ogua","0%",22
"23","Msp23","Insecta","Hymenoptera","Formicidae","Myrmicinae","Pheidole ","rugaticeps",0,0,0,0,0,0,1,0,0,1,"Ogua","0%",23
"24","Msp24","Insecta","Coleoptera","Chrysomelidae","Galerucinae","Agelastica ","alni",0,0,0,0,0,0,1,0,0,0,"Ogua","0%",24
"25","Msp25","Insecta","Hemiptera","Dinidoridae","Dinidorinae","Coridius ","singhalanus",0,0,0,0,0,0,0,1,0,0,"Ogua","0%",25
"26","Msp26","Insecta","Coleoptera","Scarabaeidae","Rutelinae","Adoretus ","ictericus",0,0,0,0,0,0,0,1,0,0,"Ogua","0%",26
"29","Msp29","Insecta","Coleoptera","carabidae","Trechinae","Micratopus ","sp",0,0,0,0,0,0,0,0,1,0,"Ogua","0%",27
"30","Msp30","Insecta","Hymenoptera","Formicidae","Ponerinae","Odontomachus ","sp",0,0,0,0,0,0,0,0,1,0,"Ogua","0%",28
"31","Msp31","Insecta","Hemiptera","Plataspidae","Plataspinae","Coptosoma ","xanthogramma",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",29
"32","Msp32","Insecta","Hemiptera","Pentatomidae","Pentatominae ","Halyomorpha ","halys",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",30
"33","Msp33","Insecta","Hemiptera","Tingidae","Tinginae","Ammianus ","erosus",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",31
"34","Msp34","Insecta","Coleoptera","Curcilionidae","Entiminae","Otiorhynchus ","ovalus",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",32
"35","Msp35","Insecta","Coleoptera","Scarabaeidae","Melolonthinae ","Holotrichia ","reynaudi",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",33
"36","Msp36","Insecta","Coleoptera","Chrysomelidae","Galerucinae","Epitrix ","fasciata",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",34
"37","Msp37","Insecta","Hymenoptera","Formicidae","Myrmicinae","Tetramorium ","sericeiventre",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",35
"38","Msp38","Insecta","Coleoptera","Cerambycidae","Spondilinae","Tetropium ","casteneum",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",36
"39","Msp39","Insecta","Coleoptera","Coccinellidae","Scymninae","Scymnus ","pallens",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",37
"40","Msp40","Insecta","Coleoptera","Curculionidae","Molytinae","Hylobius ","sp",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",38
"41","Msp41","Insecta","Coleoptera","Scarabaeidae","Melolonthinae","Holotrichia ","serrata",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",39
"42","Msp42","Insecta","Coleoptera","Hemiptera","Coreinae","Amorbus ","rubiginosus",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",40
"43","Msp43","Arachnida","Araneae","Salticidae","Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",41
"44","Msp44","Insecta","Coleoptera","Coccinellidae","Scymninae","Hyperaspidius ","nanelius",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",42
"45","Msp45","Insecta","Hymenoptera","Encyrtidae","Encyrtinae","Encyrtus ","aurantii",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",43
"46","Msp46","Arachnida","Araneae","Salticidae","Salticinae","Evarcha ","jucunda",0,0,0,0,0,0,0,0,0,0,"Ogua","0%",44
