Initial ID,ID,Class,Order,Family,Subfamily,Genus,Species,PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15
1,Msp1,Insecta,Hymenoptera,Formicidae,Myrmicinae,Lenomyrmex ,hoelldobleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Msp2,Insecta,Hymenoptera,Formicidae,Myrmicinae,Trichomyrmex ,abyssinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Msp3,Insecta,Coleoptera,Cerambycidae,Lamiinae,Prosopocera ,cylindrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Msp4,Insecta,Coleoptera,Formicidae,Myrmicinae,Crematogaster ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Msp5,Insecta,Blattodea,Ectobiidae,Ectobiinae,Ectobius ,pallidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Msp6,Insecta,Coleoptera,Scarabaeidae,Rutelinae,Adorectus ,tenuimaculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Msp7,Arachnida,Araneae,Pholcidae,Pholcidae,Pholcus ,phalangioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Msp8,Diplopoda,Spirostreptida,Spirostreptidae,Spirostreptinae,Orthoporus ,ornatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Msp9,Insecta,Coleoptera,Nemonychidae,Cimberinae,Cimberis ,compta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Msp10,Insecta,Coleoptera,Melolonthidae,Melolonthinae,Diplotaxini ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Msp11,Insecta,Hymenoptera,Formicidae,Dolichoderinae,Iridomyrmex ,suchieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Msp12,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Msp13,Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocorinae,Dysdercus ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Msp14,Insecta,Hemiptera,Reduviidae,Emesinae,Ploiara ,domestica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Msp15,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus ,vividus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Msp16,Insecta,Hymenoptera,Formicidae,Formicinae,Polyrhachis ,tubifex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Msp17,Insecta,hymenoptera,formicidae,Formicinae,Polyrhachis ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Msp18,Insecta,Coleoptera,Tenebrionidae,Tenebrioninae,Neatus ,tenebrioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Msp19,Insecta,Hemiptera,Pentatomidae,Pentatominae,Chinavia ,hilaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Msp20,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus, maculatus,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
21,Msp21,Insecta,Hymenoptera,Formicidae,Myrmicinae,Monomorium ,opacum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Msp22,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogaster ,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
