Site,Sample,Gryllus sp,Platynus sp,Paltothyreus tarsatus,Colossopus grandidieri,Armadillidium sp,Tetramorium sericeiventre,Monomorium salomonis,Mesoponera escherichi,Lepisiota canescens,Oxidus gracilis,Brachyodes nigrita,Zootermopsis angusticollis,msp1,msp2,Stelidota geminata,Paratrechina longicornis
0%,PT1,7,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0%,PT2,2,1,2,0,0,5,4,1,0,0,0,0,0,0,0,0
0%,PT3,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0
0%,PT4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0%,PT5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0%,PT6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0%,PT7,5,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0
0%,PT8,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0%,PT9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0%,PT10,4,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0
0%,PT11,3,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0
0%,PT12,2,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0
0%,PT13,1,0,1,0,0,0,4,2,2,1,0,0,0,0,0,0
0%,PT14,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0%,PT15,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
<50%,PT1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
<50%,PT2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
<50%,PT3,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
<50%,PT4,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
<50%,PT5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
<50%,PT6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
<50%,PT7,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0
<50%,PT8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
<50%,PT9,3,0,0,0,1,0,3,0,0,1,2,0,1,0,0,0
<50%,PT10,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
<50%,PT11,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0
<50%,PT12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
<50%,PT13,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
<50%,PT14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
<50%,PT15,1,0,0,0,4,0,0,0,0,0,0,3,8,0,0,0
>50%,PT1,4,1,2,0,6,0,0,0,0,0,1,0,0,1,1,0
>50%,PT2,4,0,5,0,0,0,2,0,0,0,2,0,0,0,1,0
>50%,PT3,1,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0
>50%,PT4,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
>50%,PT5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
>50%,PT6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
>50%,PT7,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2
>50%,PT8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
>50%,PT9,0,1,0,0,1,1,5,0,0,0,0,0,0,4,0,0
>50%,PT10,3,0,6,0,0,4,0,0,0,0,0,0,0,2,0,0
>50%,PT11,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0
>50%,PT12,1,0,1,0,0,8,1,0,0,0,0,0,0,1,0,1
>50%,PT13,0,0,5,0,1,8,2,0,0,0,0,0,0,0,0,0
>50%,PT14,1,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0
>50%,PT15,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
