Family,Chromolaena_level,Carabidae,Chrysomelidae,Curculionidae,Cydnidae,Elateridae ,Formicidae,Gryllidae,Lampyridae,Linyphiidae,Muscidae,Plataspidae,Scarabaeidae,Spirostreptidae,Tenebrionidae,Theridiosomatidae,Unknown,Method
BT1,0%,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,BT
BT2,0%,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,BT
BT3,0%,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,BT
BT4,0%,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,BT
BT5,0%,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,BT
BT6,0%,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BT
BT7,0%,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,BT
BT8,0%,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,BT
BT9,0%,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,BT
BT10,0%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BT
PT1,0%,0,0,0,0,0,4,2,0,0,1,0,0,0,0,1,1,PT
PT2,0%,2,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,PT
PT3,0%,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,PT
PT4,0%,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,PT
PT5,0%,1,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,PT
PT6,0%,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,PT
PT7,0%,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,PT
PT8,0%,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,PT
PT9,0%,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,PT
PT10,0%,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,PT
PT11,0%,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,PT
PT12,0%,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,PT
PT13,0%,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,PT
PT14,0%,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,PT
PT15,0%,1,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,PT
BT1,<50%,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,BT
BT2,<50%,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,BT
BT3,<50%,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,BT
BT4,<50%,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,BT
BT5,<50%,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,BT
BT6,<50%,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,BT
BT7,<50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT8,<50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT9,<50%,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,BT
BT10,<50%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BT
PT1,<50%,1,0,1,0,0,1,3,2,1,2,0,1,0,1,0,0,PT
PT2,<50%,4,1,0,0,2,4,2,3,0,1,0,1,0,0,0,0,PT
PT3,<50%,0,1,0,0,1,3,0,0,0,2,0,3,2,0,0,0,PT
PT4,<50%,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,PT
PT5,<50%,8,0,1,0,0,9,0,2,0,2,0,3,0,0,0,0,PT
PT6,<50%,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,PT
PT7,<50%,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,PT
PT8,<50%,4,0,1,0,2,10,0,1,0,1,0,1,1,2,0,0,PT
PT9,<50%,0,0,0,0,1,5,2,0,0,1,0,1,1,0,0,0,PT
PT10,<50%,1,0,0,0,2,6,0,0,2,0,0,0,1,1,0,0,PT
PT11,<50%,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,PT
PT12,<50%,0,0,1,0,0,2,1,0,1,2,0,2,0,0,0,0,PT
PT13,<50%,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,PT
PT14,<50%,3,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,PT
PT15,<50%,0,2,0,0,0,14,1,0,0,0,0,0,0,0,0,0,PT
BT1,>50%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BT
BT2,>50%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BT
BT3,>50%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BT
BT4,>50%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BT
