Location,Site,Site_no,Sample,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1,iChao-1,ACE
Ogua,0%,1,PT1,9,11,0.03636,0.9636,2.509,1.367,1.465,2.714,3.336,1.142,23.15,0.1818,15.36,20.14,24.75
Ogua,0%,1,PT2,7,13,0.1282,0.8718,2.009,1.065,1.299,1.941,2.339,1.032,6.182,0.3077,9.769,15.07,11.82
Ogua,0%,1,PT3,8,8,0,1,2.517,1.549,1.326,2.828,3.366,1.21,0,0.125,32.5,32.5,32.5
Ogua,0%,1,PT4,6,8,0.1071,0.8929,1.98,1.207,1.102,2.121,2.404,1.105,10.91,0.375,14.75,15.53,25.52
Ogua,0%,1,PT5,7,10,0.08889,0.9111,2.134,1.207,1.262,2.214,2.606,1.097,10.36,0.3,11.5,19.06,16.44
Ogua,0%,1,PT6,5,5,0,1,2.009,1.492,0.9575,2.236,2.485,1.249,0,0.2,13,13,13
Ogua,0%,1,PT7,4,4,0,1,1.761,1.455,0.7945,2,2.164,1.271,0,0.25,8.5,8.5,8.5
Ogua,0%,1,PT8,3,10,0.6222,0.3778,0.739,0.698,0.45,0.9487,0.8686,0.6727,1.453,0.8,3.9,3.9,7.083
Ogua,0%,1,PT9,3,6,0.4,0.6,1.034,0.9376,0.5669,1.225,1.116,0.9414,2.388,0.6667,3.833,3.833,6.9
Ogua,0%,1,PT10,6,7,0.04762,0.9524,2.105,1.368,1.119,2.268,2.569,1.175,19.95,0.2857,10.29,16.71,21
Ogua,0%,1,PT11,5,9,0.1389,0.8611,1.745,1.145,1.069,1.667,1.82,1.084,4.632,0.3333,5.296,6.097,6.429
Ogua,0%,1,PT12,4,6,0.2,0.8,1.492,1.112,0.7979,1.633,1.674,1.077,5.245,0.5,6.5,6.875,11.6
Ogua,0%,1,PT13,5,7,0.09524,0.9048,1.836,1.254,1.02,1.89,2.056,1.14,7.824,0.2857,5.857,6.929,8.75
Ogua,0%,1,PT14,4,5,0.1,0.9,1.632,1.279,0.8189,1.789,1.864,1.177,9.284,0.4,5.2,7.6,10
Ogua,0%,1,PT15,10,12,0.0303,0.9697,2.629,1.386,1.55,2.887,3.622,1.142,28.23,0.1667,18.56,24.67,30
Ogua,<50%,2,PT1,11,15,0.04762,0.9524,2.637,1.27,1.648,2.84,3.693,1.1,18.6,0.2,19.71,27.36,25.67
Ogua,<50%,2,PT2,12,19,0.05263,0.9474,2.668,1.201,1.772,2.753,3.736,1.074,13.98,0.1579,16.97,21.56,19
Ogua,<50%,2,PT3,12,16,0.04167,0.9583,2.737,1.287,1.718,3,3.967,1.101,21.81,0.1875,23.25,32.64,30.37
Ogua,<50%,2,PT4,7,7,0,1,2.374,1.535,1.218,2.646,3.083,1.22,0,0.1429,25,25,25
Ogua,<50%,2,PT5,12,27,0.1339,0.8661,2.312,0.8411,1.663,2.309,3.338,0.9303,8.278,0.2963,25.48,44.49,31.64
Ogua,<50%,2,PT6,6,6,0,1,2.208,1.517,1.097,2.449,2.791,1.233,0,0.1667,18.5,18.5,18.5
Ogua,<50%,2,PT7,7,7,0,1,2.374,1.535,1.218,2.646,3.083,1.22,0,0.1429,25,25,25
Ogua,<50%,2,PT8,16,25,0.04667,0.9533,2.922,1.162,1.994,3.2,4.66,1.054,19.17,0.16,33.6,49.07,35.12
Ogua,<50%,2,PT9,11,13,0.02564,0.9744,2.736,1.403,1.628,3.051,3.899,1.141,33.82,0.1538,22.08,29.69,35.75
Ogua,<50%,2,PT10,9,14,0.06593,0.9341,2.392,1.215,1.523,2.405,3.031,1.089,10.88,0.2143,11.32,13.6,14
Ogua,<50%,2,PT11,5,11,0.2909,0.7091,1.476,0.8754,0.93,1.508,1.668,0.9173,3.538,0.5455,6.364,9.091,11
Ogua,<50%,2,PT12,9,12,0.04545,0.9545,2.472,1.316,1.492,2.598,3.219,1.125,16.36,0.1667,12.44,14.5,18
Ogua,<50%,2,PT13,7,7,0,1,2.374,1.535,1.218,2.646,3.083,1.22,0,0.1429,25,25,25
Ogua,<50%,2,PT14,9,13,0.0641,0.9359,2.406,1.232,1.49,2.496,3.119,1.095,12.94,0.2308,13.62,18.3,17.51
Ogua,<50%,2,PT15,13,21,0.08571,0.9143,2.62,1.057,1.749,2.837,3.942,1.022,14.56,0.2857,21.57,25.86,37.71
Ogua,>50%,3,PT1,9,11,0.05455,0.9455,2.462,1.303,1.428,2.714,3.336,1.12,23.15,0.2727,34.45,35.91,56.47
Ogua,>50%,3,PT2,9,14,0.1209,0.8791,2.251,1.055,1.408,2.405,3.031,1.024,10.88,0.3571,18.75,31.75,34.46
