LGA,Village,Gradient,Season,Replicates,Arthropods
Ovia NE,Ogua,Zero infestation,Wet,1,7
Ovia NE,Ogua,Zero infestation,Wet,2,8
Ovia NE,Ogua,Zero infestation,Wet,3,6
Ovia NE,Ogua,Zero infestation,Wet,4,15
Ovia NE,Ogua,Zero infestation,Wet,5,9
Ovia NE,Ogua,Zero infestation,Wet,6,4
Ovia NE,Ogua,Zero infestation,Wet,7,14
Ovia NE,Ogua,Zero infestation,Wet,8,5
Ovia NE,Ogua,Zero infestation,Wet,9,10
Ovia NE,Ogua,Zero infestation,Wet,10,3
Ovia NE,Ogua,Mild infestation,Wet,1,3
Ovia NE,Ogua,Mild infestation,Wet,2,1
Ovia NE,Ogua,Mild infestation,Wet,3,1
Ovia NE,Ogua,Mild infestation,Wet,4,3
Ovia NE,Ogua,Mild infestation,Wet,5,7
Ovia NE,Ogua,Mild infestation,Wet,6,18
Ovia NE,Ogua,Mild infestation,Wet,7,9
Ovia NE,Ogua,Mild infestation,Wet,8,1
Ovia NE,Ogua,Mild infestation,Wet,9,9
Ovia NE,Ogua,Mild infestation,Wet,10,9
Ovia NE,Ogua,High infestation,Wet,1,3
Ovia NE,Ogua,High infestation,Wet,2,1
Ovia NE,Ogua,High infestation,Wet,3,1
Ovia NE,Ogua,High infestation,Wet,4,3
Ovia NE,Ogua,High infestation,Wet,5,7
Ovia NE,Ogua,High infestation,Wet,6,18
Ovia NE,Ogua,High infestation,Wet,7,9
Ovia NE,Ogua,High infestation,Wet,8,1
Ovia NE,Ogua,High infestation,Wet,9,9
Ovia NE,Ogua,High infestation,Wet,10,9
Ovia NE,Ogua,Zero infestation,Dry,1,4
Ovia NE,Ogua,Zero infestation,Dry,2,32
Ovia NE,Ogua,Zero infestation,Dry,3,5
Ovia NE,Ogua,Zero infestation,Dry,4,0
Ovia NE,Ogua,Zero infestation,Dry,5,3
Ovia NE,Ogua,Zero infestation,Dry,6,2
Ovia NE,Ogua,Zero infestation,Dry,7,0
Ovia NE,Ogua,Zero infestation,Dry,8,1
Ovia NE,Ogua,Zero infestation,Dry,9,4
Ovia NE,Ogua,Zero infestation,Dry,10,10
Ovia NE,Ogua,Mild infestation,Dry,1,6
Ovia NE,Ogua,Mild infestation,Dry,2,1
Ovia NE,Ogua,Mild infestation,Dry,3,9
Ovia NE,Ogua,Mild infestation,Dry,4,14
Ovia NE,Ogua,Mild infestation,Dry,5,6
Ovia NE,Ogua,Mild infestation,Dry,6,2
Ovia NE,Ogua,Mild infestation,Dry,7,9
Ovia NE,Ogua,Mild infestation,Dry,8,4
Ovia NE,Ogua,Mild infestation,Dry,9,3
Ovia NE,Ogua,Mild infestation,Dry,10,3
Ovia NE,Ogua,High infestation,Dry,1,12
Ovia NE,Ogua,High infestation,Dry,2,36
Ovia NE,Ogua,High infestation,Dry,3,37
Ovia NE,Ogua,High infestation,Dry,4,32
Ovia NE,Ogua,High infestation,Dry,5,19
Ovia NE,Ogua,High infestation,Dry,6,150
Ovia NE,Ogua,High infestation,Dry,7,183
Ovia NE,Ogua,High infestation,Dry,8,39
Ovia NE,Ogua,High infestation,Dry,9,6
Ovia NE,Ogua,High infestation,Dry,10,14
Ovia NE,Iguegosagie,Zero infestation,Wet,1,31
Ovia NE,Iguegosagie,Zero infestation,Wet,2,1
Ovia NE,Iguegosagie,Zero infestation,Wet,3,8
Ovia NE,Iguegosagie,Zero infestation,Wet,4,4
Ovia NE,Iguegosagie,Zero infestation,Wet,5,12
Ovia NE,Iguegosagie,Zero infestation,Wet,6,10
Ovia NE,Iguegosagie,Zero infestation,Wet,7,7
Ovia NE,Iguegosagie,Zero infestation,Wet,8,12
Ovia NE,Iguegosagie,Zero infestation,Wet,9,10
Ovia NE,Iguegosagie,Zero infestation,Wet,10,13
Ovia NE,Iguegosagie,Mild infestation,Wet,1,19
Ovia NE,Iguegosagie,Mild infestation,Wet,2,13
Ovia NE,Iguegosagie,Mild infestation,Wet,3,13
Ovia NE,Iguegosagie,Mild infestation,Wet,4,16
Ovia NE,Iguegosagie,Mild infestation,Wet,5,7
Ovia NE,Iguegosagie,Mild infestation,Wet,6,16
Ovia NE,Iguegosagie,Mild infestation,Wet,7,21
Ovia NE,Iguegosagie,Mild infestation,Wet,8,12
Ovia NE,Iguegosagie,Mild infestation,Wet,9,17
Ovia NE,Iguegosagie,Mild infestation,Wet,10,8
Ovia NE,Iguegosagie,High infestation,Wet,1,26
Ovia NE,Iguegosagie,High infestation,Wet,2,14
Ovia NE,Iguegosagie,High infestation,Wet,3,31
Ovia NE,Iguegosagie,High infestation,Wet,4,35
Ovia NE,Iguegosagie,High infestation,Wet,5,7
Ovia NE,Iguegosagie,High infestation,Wet,6,50
Ovia NE,Iguegosagie,High infestation,Wet,7,25
Ovia NE,Iguegosagie,High infestation,Wet,8,15
Ovia NE,Iguegosagie,High infestation,Wet,9,9
Ovia NE,Iguegosagie,High infestation,Wet,10,5
Ovia NE,Iguegosagie,Zero infestation,Dry,1,15
