LGA,Village,Gradient,Niche,Seasons,Replicates,Total
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT1,11
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT2,13
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT3,9
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT4,8
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT5,10
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT6,5
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT7,4
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT8,10
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT9,6
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT10,7
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT11,9
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT12,6
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT13,7
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT14,5
Ovia NE,Ogua,Zero infestation,ground-dwelling,Wet,PT15,12
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT1,16
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT2,19
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT3,16
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT4,7
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT5,27
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT6,7
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT7,7
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT8,27
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT9,13
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT10,15
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT11,11
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT12,12
Ovia NE,Ogua,Mild infestation,ground-dwelling,Wet,PT13,7
