"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","survey"
"Dry_High vs Wet_High",1,4.04088878160881,30.0792371424209,0.517900003897453,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_High vs Dry_Mild",1,0.22447908919446,2.59626928241743,0.0848557469034113,0.02,0.3,"","Iguegosagie.p.pairwise"
"Dry_High vs Wet_Mild",1,1.79905914385574,14.9499868251934,0.348078961840893,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_High vs Dry_Zero",1,0.283365470021013,3.50436283437516,0.111234207553992,0.003,0.045,".","Iguegosagie.p.pairwise"
"Dry_High vs Wet_Zero",1,2.49786109365557,19.7890493377267,0.414091713728744,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_High vs Dry_Mild",1,3.49448923724734,23.6800228881134,0.45820457431647,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_High vs Wet_Mild",1,1.02571827324088,5.65297461378458,0.167978452979579,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_High vs Dry_Zero",1,3.53219467791325,24.8799041673249,0.4704982839719,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_High vs Wet_Zero",1,1.83946815443608,9.81922000012668,0.259635709041429,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_Mild vs Wet_Mild",1,1.62685612311514,12.1799623762362,0.303135235971247,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_Mild vs Dry_Zero",1,0.197734192378815,2.10153203426416,0.0698147865654153,0.046,0.69,"","Iguegosagie.p.pairwise"
"Dry_Mild vs Wet_Zero",1,1.97412298989724,14.1560730985852,0.335801512286975,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_Mild vs Dry_Zero",1,1.94244375770369,15.1792752225877,0.351540759874709,0.001,0.015,".","Iguegosagie.p.pairwise"
"Wet_Mild vs Wet_Zero",1,1.74732400009485,10.080881647956,0.264722905870461,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_Zero vs Wet_Zero",1,2.11164036932353,15.7758480862536,0.360377897309259,0.001,0.015,".","Iguegosagie.p.pairwise"
"Dry_High vs Wet_High",1,0.956501034876166,5.52024739390369,0.234701927299222,0.001,0.015,".","Iguegosagie.b.pairwise"
"Dry_High vs Dry_Mild",1,0.261621119929616,1.79314931970806,0.0905944420841922,0.087,1,"","Iguegosagie.b.pairwise"
"Dry_High vs Wet_Mild",1,1.25808288576702,7.07399417868006,0.282124743599683,0.001,0.015,".","Iguegosagie.b.pairwise"
"Dry_High vs Dry_Zero",1,0.341447422494464,1.90424827934586,0.0956704444508888,0.093,1,"","Iguegosagie.b.pairwise"
"Dry_High vs Wet_Zero",1,1.84043802517861,9.03358030977452,0.334161446847211,0.001,0.015,".","Iguegosagie.b.pairwise"
