Original,Corrected,,,,,,,,
Formicidae,Formicidae,,,,,,,,
Cerambycidae,Cerambycidae,,,,,,,,
Ectobiidae,Ectobiidae,,,,,,,,
Scarabaeidae,Scarabaeidae,,,,,,,,
Pholcidae,Pholcidae,,,,,,,,
Spirostreptidae,Spirostreptidae,,,,,,,,
Curculionidae,Curculionidae,,,,,,,,
Pyrrhocoridae,Pyrrhocoridae,,,,,,,,
Reduviidae,Reduviidae,,,,,,,,
formicidae,Formicidae,,,,,,,,
Tenebrionidae,Tenebrionidae,,,,,,,,
Pentatomidae,Pentatomidae,,,,,,,,
Chrysomelidae,Chrysomelidae,,,,,,,,
Dinidoridae,Dinidoridae,,,,,,,,
Carabidae,Carabidae,,,,,,,,
Plataspidae,Plataspidae,,,,,,,,
Tingidae,Tingidae,,,,,,,,
Coccinellidae,Coccinellidae,,,,,,,,
Coreidae,Coreidae,,,,,,,,
Salticidae,Salticidae,,,,,,,,
Encyrtidae,Encyrtidae,,,,,,,,
Unknown,Unknown,,,,,,,,
Pyrgomorphidae,Pyrgomorphidae,,,,,,,,
Nabidae,Nabidae,,,,,,,,
Membracidae,Membracidae,,,,,,,,
Gnaphosidae,Gnaphosidae,,,,,,,,
Bruchidae,Bruchidae,,,,,,,,
Blaberidae,Blaberidae,,,,,,,,
Linyphiidae,Linyphiidae,,,,,,,,
Forficulidae,Forficulidae,,,,,,,,
Lycidae,Lycidae,,,,,,,,
Piesmatidae,Piesmatidae,,,,,,,,
Tettigoniidae,Tettigoniidae,,,,,,,,
Armadillidiidae,Armadillidiidae,,,,,,,,
Scelionidae,Scelionidae,,,,,,,,
Lampyridae,Lampyridae,,,,,,,,
Tetrigidae,Tetrigidae,,,,,,,,
Rhopalidae,Rhopalidae,,,,,,,,
Geocoridae,Geocoridae,,,,,,,,
Thericleidae,Thericleidae,,,,,,,,
Endomychidae,Endomychidae,,,,,,,,
Veliidae,Veliidae,,,,,,,,
Lygaeidae,Lygaeidae,,,,,,,,
Alydidae,Alydidae,,,,,,,,
Corinnidae,Corinnidae,,,,,,,,
carabidae,Carabidae,,,,,,,,
Araneae,Araneae,,,,,,,,
Ulidiidae,Ulidiidae,,,,,,,,
Cicadellidae,Cicadellidae,,,,,,,,
Stratiomyidae,Stratiomyidae,,,,,,,,
Palpimanidae,Palpimanidae,,,,,,,,
Euzetidae,Euzetidae,,,,,,,,
Staphylinidae,Staphylinidae,,,,,,,,
Oxycarenidae,Oxycarenidae,,,,,,,,
Blattidae,Blattidae,,,,,,,,
Andrognathidae,Andrognathidae,,,,,,,,
Rhyparochromidae,Rhyparochromidae,,,,,,,,
Anobiidae,Anobiidae,,,,,,,,
Nymphalidae,Nymphalidae,,,,,,,,
Corylophidae,Corylophidae,,,,,,,,
Lagridae,Lagridae,,,,,,,,
Cymidae,Cymidae,,,,,,,,
unknown,Unknown,,,,,,,,
Calliphoridae,Calliphoridae,,,,,,,,
Scutelleridae,Scutelleridae,,,,,,,,
Nemestrinidae,Nemestrinidae,,,,,,,,
Clastopteridae,Clastopteridae,,,,,,,,
Erebidae,Erebidae,,,,,,,,
Gryllidae,Gryllidae,,,,,,,,
Amplidae,Amplidae,,,,,,,,
Acrididae,Acrididae,,,,,,,,
Scatelleridae,Scatelleridae,,,,,,,,
Miridae,Miridae,,,,,,,,
Ptiliidae,Ptiliidae,,,,,,,,
Muscidae,Muscidae,,,,,,,,
salticidae,Salticidae,,,,,,,,
Mantidae,Mantidae,,,,,,,,
Theridiosomatidae,Theridiosomatidae,,,,,,,,
Crabronidae,Crabronidae,,,,,,,,
Elateridae,Elateridae,,,,,,,,
Evaniidae,Evaniidae,,,,,,,,
Tiphiidae,Tiphiidae,,,,,,,,
Glossinidae,Glossinidae,,,,,,,,
Cydnidae,Cydnidae,,,,,,,,
Hodotermopsidae,Hodotermopsidae,,,,,,,,
Thyreocoridae,Thyreocoridae,,,,,,,,
Lycosidae,Lycosidae,,,,,,,,
Meinertellidae,Meinertellidae,,,,,,,,
Titanoecidae,Titanoecidae,,,,,,,,
Cyrbaucheniidae,Cyrbaucheniidae,,,,,,,,
Ctenidae,Ctenidae,,,,,,,,
Nitidulidae,Nitidulidae,,,,,,,,
Ceratopogonidae,Ceratopogonidae,,,,,,,,
Segetriidae,Segetriidae,,,,,,,,
Oniscidae,Oniscidae,,,,,,,,
Aphrophoridae,Aphrophoridae,,,,,,,,
Paradoxomatidae,Paradoxomatidae,,,,,,,,
Melolonthidae,Melolonthidae,,,,,,,,
Gryllacrididae,Gryllacrididae,,,,,,,,
Cryptophagidae,Cryptophagidae,,,,,,,,
Scolopendridae,Scolopendridae,,,,,,,,
Termitidae,Termitidae,,,,,,,,
Myrmeleontidae,Myrmeleontidae,,,,,,,,
Aradidae,Aradidae,,,,,,,,
Lithobiidae,Lithobiidae,,,,,,,,
Mutillidae,Mutillidae,,,,,,,,
Ageleniidae,Ageleniidae,,,,,,,,
Zodariidae,Zodariidae,,,,,,,,
Pompilidae,Pompilidae,,,,,,,,
Sphecidae,Sphecidae,,,,,,,,
Acroceridae,Acroceridae,,,,,,,,
Tipulidae,Tipulidae,,,,,,,,
Dermestidae,Dermestidae,,,,,,,,
Hilarimorphidae,Hilarimorphidae,,,,,,,,
Anisolabididae,Anisolabididae,,,,,,,,
Lathridiidae,Lathridiidae,,,,,,,,
Phalangopsidae,Phalangopsidae,,,,,,,,
Aerididae,Aerididae,,,,,,,,
Tachinidae,Tachinidae,,,,,,,,
Dytiscidae,Dytiscidae,,,,,,,,
Vespidae,Vespidae,,,,,,,,
Noctuidae,Noctuidae,,,,,,,,
Lucanidae,Lucanidae,,,,,,,,
Spider,Araneae,,,,,,,,
Apidae,Apidae,,,,,,,,
Anthicidae,Anthicidae,,,,,,,,
Histeridae,Histeridae,,,,,,,,a
Phlaeothripidae,Phlaeothripidae,,,,,,,,
Hydrophilidae,Hydrophilidae,,,,,,,,
Buprestidae,Buprestidae,,,,,,,,
Cincindelidae,Cincindelidae,,,,,,,,
Elinidae,Elinidae,,,,,,,,
Derodontidae,Derodontidae,,,,,,,,
