Family,Chromolaena_level,Archotermopsidae,Armadillidiidae,Carabidae,Chrysomelidae,Ctenidae,Formicidae,Gryllidae,Linyphiidae,Paradoxomatidae,Pentatomidae,Plataspidae,Spirostreptidae,Tenebrionidae,Unknown,Forficulidae,Tettigoniidae,Nitidulidae,Cydnidae,Method
BT1,0%,0,0,0,2,0,13,0,0,0,0,0,0,0,0,3,0,0,0,BT
BT2,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BT
BT3,0%,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,BT
BT4,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,BT
BT5,0%,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,BT
BT6,0%,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,BT
BT7,0%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,BT
BT8,0%,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,BT
BT9,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,BT
BT10,0%,0,0,0,1,0,4,0,0,0,0,0,0,0,2,4,0,0,0,BT
PT1,0%,0,0,2,0,0,3,7,0,2,0,0,0,0,0,0,0,0,0,PT
PT2,0%,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,PT
PT3,0%,0,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,PT
PT4,0%,0,0,1,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,PT
PT5,0%,0,0,1,0,0,4,1,0,2,0,0,0,0,2,0,0,0,0,PT
PT6,0%,0,0,1,0,0,4,1,0,1,0,0,0,0,2,1,1,0,0,PT
PT7,0%,0,0,1,0,0,22,5,0,0,0,0,0,0,2,1,0,0,0,PT
PT8,0%,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,PT
PT9,0%,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,PT
PT10,0%,0,1,0,1,0,4,4,0,0,0,0,0,0,1,0,2,0,0,PT
PT11,0%,0,5,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,PT
PT12,0%,0,2,0,0,0,2,2,0,3,0,0,0,0,1,0,0,0,0,PT
PT13,0%,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,PT
PT14,0%,0,0,1,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,PT
