Site,Sample,Odontomachus sp,Gryllus sp,Brachyodes nigrita,Baalzebub baubo,Neomyia sp,Platynus sp,Paltothyreus tarsatus,Melanotus castanipes,Copris sp,Camponotus flavomarginatus,Walckenaeria antica,Orthoporus ornatus,Gonopus tibialis,Monomorium salomonis,Lampyris noctiluca,Adoretus sp,Cydnus aterrimus,Monomorium opacum,Nylanderia sp
0%,PT1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT2,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT5,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT9,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT10,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT11,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT12,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT13,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0%,PT15,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<50%,PT1,1,3,0,0,2,1,0,0,1,0,1,0,1,0,2,0,0,0,0
<50%,PT2,3,2,2,0,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0
<50%,PT3,1,0,0,0,2,0,0,1,3,0,0,2,0,1,0,0,0,0,0
<50%,PT4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
<50%,PT5,0,0,0,0,1,8,1,0,3,1,0,0,0,6,2,0,0,0,0
<50%,PT6,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
<50%,PT7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
<50%,PT8,1,0,3,0,1,0,1,2,0,1,0,1,2,3,1,0,0,0,0
<50%,PT9,2,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
<50%,PT10,3,0,0,0,0,1,2,2,0,0,2,1,1,1,0,0,0,0,0
<50%,PT11,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
<50%,PT12,2,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0
<50%,PT13,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
<50%,PT14,0,0,1,0,0,0,1,0,2,0,0,0,1,3,0,0,0,0,0
<50%,PT15,2,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0
>50%,PT1,1,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
>50%,PT2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0
>50%,PT3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
>50%,PT4,0,0,0,1,0,1,0,0,5,3,3,0,0,0,0,0,0,0,0
>50%,PT5,1,3,0,0,1,0,1,1,1,0,3,0,0,0,0,0,0,0,0
>50%,PT6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
>50%,PT7,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
>50%,PT8,1,0,0,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
>50%,PT9,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
>50%,PT10,1,1,0,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0
>50%,PT11,4,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
>50%,PT12,0,1,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,1,0
>50%,PT13,1,1,0,0,1,0,1,2,0,5,0,0,0,0,0,0,0,0,0
>50%,PT14,0,2,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,5
>50%,PT15,0,3,0,2,1,1,1,1,6,0,1,0,0,2,0,10,4,0,0
