Location,Site,Order,Araneae,Blattodae,Coleoptera,Dermaptera,Diptera,Hemiptera,Hymenoptera,Isopoda,Lepidoptera,Lithoblomorpha,Neuroptera,Oribatida,Orthoptera,Polydesmida,Scolopendromorpha,Spirostreptida,Thysanura,Unknown
Ogua,0,PT1,1,0,2,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0
Ogua,0,PT2,1,0,2,0,1,0,4,0,0,0,0,0,4,0,0,1,0,0
Ogua,0,PT3,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT4,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT5,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT6,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT7,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0
Ogua,0,PT9,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT10,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Ogua,0,PT11,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0
Ogua,0,PT12,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT13,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT14,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT15,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT1,2,0,6,0,2,0,1,1,0,0,0,0,3,0,0,0,0,0
Ogua,<50%,PT2,0,0,11,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0
Ogua,<50%,PT3,1,0,5,0,3,0,4,0,0,0,0,0,1,0,0,2,0,0
Ogua,<50%,PT4,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT5,2,0,14,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT6,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Ogua,<50%,PT7,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Ogua,<50%,PT8,0,0,11,0,1,0,11,1,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,PT9,1,0,3,0,1,0,5,0,0,0,0,0,2,0,0,1,0,0
Ogua,<50%,PT10,2,0,4,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,PT11,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT12,1,0,4,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0
Ogua,<50%,PT13,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
